"visitors_pool_total","sportbad_closed","freizeitbad_closed","sauna_closed","kursbecken_closed","event","price_adult_90min","price_adult_max","price_reduced_90min","price_reduced_max","sloop_dummy","sloop_days_since_opening","school_holiday","bank_holiday","Month","Day of month","Day of week","date_time (#1)","Year","precipitation_DWD","snow_height_DWD","air_humidity_UniOS","air_pressure_UniOS","global_solar_radiation_UniOS","temperature_UniOS","wind_speed_avg_UniOS","wind_speed_max_UniOS"
379,0,1,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,6,12,6,"2009-06-12",2009,0.3,0,59.702524271844666,1008.5442233009705,442.8411650485436,13.766456310679612,15.260097087378641,56.14
529,0,1,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,6,13,7,"2009-06-13",2009,0.0,0,60.05284722222219,1011.0740972222263,394.1243402777774,14.09579861111112,8.132534722222218,27.31
560,0,1,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,6,14,1,"2009-06-14",2009,2.5,0,73.88402777777777,1007.8931944444461,175.02329861111093,15.738263888888898,8.748437499999998,39.67
435,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,15,2,"2009-06-15",2009,2.1,0,78.72722222222221,1005.8821180555567,140.51486111111114,15.605729166666663,7.1434375,31.21
288,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,16,3,"2009-06-16",2009,0.3,0,75.71881944444439,1009.6529513888913,188.28763888888886,13.548402777777767,6.729270833333335,32.66
377,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,17,4,"2009-06-17",2009,0.5,0,62.7143055555556,1012.0209722222241,379.23576388888847,16.333715277777774,7.8565625,33.44
328,0,1,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,18,5,"2009-06-18",2009,0.0,0,63.33934256055368,1005.3455017301017,276.41131487889254,18.106955017301047,11.955847750865042,38.03
285,0,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,19,6,"2009-06-19",2009,0.7,0,61.41673611111113,1005.892986111115,295.86468750000023,15.398993055555552,13.840625000000006,53.88
377,0,0,1,0,1,4.6,7.6,2.6,4.6,0,0,0,0,6,20,7,"2009-06-20",2009,4.4,0,74.23086805555556,1009.1989930555558,220.04187500000018,12.631145833333328,10.89666666666667,42.12
539,0,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,21,1,"2009-06-21",2009,1.3,0,74.51649305555556,1010.3886458333369,233.6484374999999,12.850798611111113,8.605138888888886,35.13
330,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,22,2,"2009-06-22",2009,0.0,0,68.27843750000002,1015.0750347222212,260.3642708333334,14.314062500000002,6.935416666666665,24.94
496,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,23,3,"2009-06-23",2009,0.0,0,67.39048611111113,1016.4780208333336,362.83090277777745,17.241041666666675,11.287951388888892,47.25
623,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,0,0,6,24,4,"2009-06-24",2009,0.0,0,59.007326388888906,1011.1516666666674,418.41541666666643,18.896840277777788,13.925868055555547,50.82
861,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,6,25,5,"2009-06-25",2009,0.0,0,65.04461805555553,1004.6361458333342,348.7510069444443,19.016249999999996,14.109826388888882,53.88
687,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,6,27,7,"2009-06-27",2009,0.0,0,77.35579861111108,1004.8906249999982,212.42600694444437,19.801250000000003,12.31760416666668,45.66
2146,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,6,28,1,"2009-06-28",2009,0.0,0,73.73722222222221,1006.036111111107,227.44569444444446,20.088888888888867,8.559236111111106,30.53
1546,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,6,29,2,"2009-06-29",2009,0.0,0,71.17243697478992,1007.5898739495816,233.2139075630251,21.90588235294117,6.630168067226885,28.68
2221,1,0,1,0,0,4.6,7.6,2.6,4.6,0,0,1,0,6,30,3,"2009-06-30",2009,0.0,0,62.92381720430109,1010.2402688172047,331.75532258064516,23.74860215053763,7.024247311827963,23.92
